,id_str,created_at,user.screen_name,user.location,retweeted_status.created_at,text,extended_tweet.full_text
7388,1186713429727420418,Tue Oct 22 18:38:24 +0000 2019,pierre_goddard,,Tue Oct 22 18:31:15 +0000 2019,"RT @sur_cl: Las causas que provocaron la crisis de #Chile. 🇨🇱
👉https://t.co/IBAJ6bMOFb #EstoPasaEnChile @sebastianpinera @mbachelet @Ricard…",
7444,1186713443572834304,Tue Oct 22 18:38:27 +0000 2019,reddecarlos,"Peumo, Chile",Tue Oct 22 14:23:17 +0000 2019,RT @romabosagna: José Miguel Uribe Antipani asesinado x militares #chile #piñeradictador#renunciapiñera https://t.co/VQk3mGJHEu,
7459,1186713448744443904,Tue Oct 22 18:38:28 +0000 2019,edgarwrightttt,Santiago,,Vayan acostarse milicos culiaos!! Jajaja. Wns cagaos de la cabeza. #piñeradictador #RenunciaPiñera #MilicosCuliaos… https://t.co/TUcTSArTvn,Vayan acostarse milicos culiaos!! Jajaja. Wns cagaos de la cabeza. #piñeradictador #RenunciaPiñera #MilicosCuliaos #MilicosVuelvanASusCuarteles #22Oct #ParoNacional #ChileDesperto
7469,1186713450862563328,Tue Oct 22 18:38:29 +0000 2019,cron1411,,Mon Oct 21 18:57:44 +0000 2019,"RT @grandovich: Lo + hermoso, es que la gente no ha flaqueado en sus demandas!!

#renunciapiñera 
#Estopasaenchile https://t.co/U1LZKuvVU2",
7502,1186713458433286145,Tue Oct 22 18:38:31 +0000 2019,Robertinto,"Ninhue, santiago",Tue Oct 22 18:23:38 +0000 2019,RT @APaoGamboa: Que rabia el gobierno esta siendo testigo de mentiras y montajes #pinerarenuncia #fueramosmilicos #estopasaenchile #latvmie…,
7513,1186713462648528900,Tue Oct 22 18:38:32 +0000 2019,ArielLopezc,,Mon Oct 21 22:42:03 +0000 2019,RT @sofisegoviad: Uno de los tantos cambios que se necesitan #EstoPasaEnChile #ChileDespierta #pinerarenuncia https://t.co/DLikJXshON,
7527,1186713464527577088,Tue Oct 22 18:38:32 +0000 2019,EstanislaoEsc,"Bogotá, D.C., Colombia",Tue Oct 22 11:52:29 +0000 2019,"RT @macarenasaav: Súper buen video para q los desclasados entiendan lo q pasa en chile y se dejen d hablar weas 

#renunciapineira
#FelizMa…",
7541,1186713467195215875,Tue Oct 22 18:38:33 +0000 2019,jacarreno_,"Chillán, Chile",Tue Oct 22 01:55:06 +0000 2019,RT @monlaferte: Que esperas? @sebastianpinera el mundo te está observando #Piñeradictador,
7600,1186713482126876674,Tue Oct 22 18:38:36 +0000 2019,CristoJCM,,,PIÑERA DICTADOR  #RenunciaPiñera #ChileDesperto #chile #plazaitalia #CHILESECANSÓ #ChadwikAsesino  #piñeradictador… https://t.co/IdDaT5nTTV,PIÑERA DICTADOR  #RenunciaPiñera #ChileDesperto #chile #plazaitalia #CHILESECANSÓ #ChadwikAsesino  #piñeradictador  #EstoPasaEnChile #QueSeVayanLosMilicos
7601,1186713482391105545,Tue Oct 22 18:38:36 +0000 2019,younghostff,,Tue Oct 22 18:21:32 +0000 2019,"RT @RomelGuardian: No son imágenes de Septiembre de 1973, son de Octubre del 2019 
""La dictadura pinochetista de @sebastianpinera 
Represió…",
